 V1   V2   V3   V4   V5   V6   V7   V8   V9   V10  V11  V12  V13  V14  V15  V16  V17  V18  V19  V20  V21  V22  V23  V24  V25  V26  V27  V28  V29  V30 V31  V32  V33  V34  V35  V36  V37  V38  V39  V40  V41  V42  V43  V44  V45  V46  V47  V48  V49  V50  V51  V52  V53  V54  V55  V56  V57  V58  V59  V60   V61  V62  V63  V64  V65  V66  V67  V68  V69  V70  V71  V72  V73  V74  V75  V76  V77  V78  V79  V80  V81  V82  V83  V84  V85  V86  V87  V88  V89  V90   V91  V92  V93  V94  V95  V96  V97  V98  V99  V100 V101 V102 V103 V104 V105 V106 V107 V108 V109 V110 V111 V112 V113 V114 V115 V116 V117 V118 V119 V120 V121 V122 V123 V124 V125 V126 V127 V128 V129 V130 V131 V132 V133 V134 V135 V136 V137 V138 V139 V140 V141 V142 V143 V144 V145 V146 V147 V148 V149 V150 V151 V152 V153 V154 V155 V156 V157 V158 V159 V160
976.7 63.3 0.713 7.8 -6.6 0.92 8.5 0.866 15 80 29 3000 2.9 1 1 1 0 0 953942.89 4006.89 0.508369 60.84 43.56 0.8464 72.25 0.749956 225 6400 841 9000000 8.41 931716020.66 253636.137 0.362467097 474.552 -287.496 0.778688 614.125 0.649461896 3375 512000 24389 27000000000 24.389 61825.11 696.3871 7618.26 -6446.22 898.564 8301.95 845.8222 14650.5 78136 28324.3 2930100 2832.43 45.1329 493.74 -417.78 58.236 538.05 54.8178 949.5 5064 1835.7 189900 183.57 5.5614 -4.7058 0.65596 6.0605 0.617458 10.695 57.04 20.677 2139 2.0677 -51.48 7.176 66.3 6.7548 117 624 226.2 23400 22.62 -6.072 -56.1 -5.7156 -99 -528 -191.4 -19800 -19.14 7.82 0.79672 13.8 73.6 26.68 2760 2.668 7.361 127.5 680 246.5 25500 24.65 12.99 69.28 25.114 2598 2.5114 1200 435 45000 43.5 2320 240000 232 87000 84.1 8700 976.7 63.3 0.713 7.8 -6.6 0.92 8.5 0.866 15 80 29 3000 2.9 1 1 0 0 15 80 29 0 0 0 0 0 0 2.9 0 0 1 0 0 15 80 3000 63.3 -21.75328533 -23.92700677
875.8 88.7 0.666 3 8.7 0.89 -9.5 0.917 13 98 11.3 425 3 1 -1 0 0 1 767025.64 7867.69 0.443556 9 75.69 0.7921 90.25 0.840889 169 9604 127.69 180625 9 671761055.51 697864.103 0.295408296 27 658.503 0.704969 -857.375 0.771095213 2197 941192 1442.897 76765625 27 77683.46 583.2828 2627.4 7619.46 779.462 -8320.1 803.1086 11385.4 85828.4 9896.54 372215 2627.4 59.0742 266.1 771.69 78.943 -842.65 81.3379 1153.1 8692.6 1002.31 37697.5 266.1 1.998 5.7942 0.59274 -6.327 0.610722 8.658 65.268 7.5258 283.05 1.998 26.1 2.67 -28.5 2.751 39 294 33.9 1275 9 7.743 -82.65 7.9779 113.1 852.6 98.31 3697.5 26.1 -8.455 0.81613 11.57 87.22 10.057 378.25 2.67 -8.7115 -123.5 -931 -107.35 -4037.5 -28.5 11.921 89.866 10.3621 389.725 2.751 1274 146.9 5525 39 1107.4 41650 294 4802.5 33.9 1275 -875.8 -88.7 -0.666 -3 -8.7 -0.89 9.5 -0.917 -13 -98 -11.3 -425 -3 -1 0 0 -1 0 0 0 0 0 0 13 98 11.3 0 0 3 0 0 1 13 98 425 88.7 -23.05116874 -19.85742665
1146 9.2 0.806 9.3 -9.3 0.94 -0.1 0.893 12 85 -3.1 1250 14.5 1 -1 0 1 0 1313316 84.64 0.649636 86.49 86.49 0.8836 0.01 0.797449 144 7225 9.61 1562500 210.25 1505060136 778.688 0.523606616 804.357 -804.357 0.830584 -0.001 0.712121957 1728 614125 -29.791 1953125000 3048.625 10543.2 923.676 10657.8 -10657.8 1077.24 -114.6 1023.378 13752 97410 -3552.6 1432500 16617 7.4152 85.56 -85.56 8.648 -0.92 8.2156 110.4 782 -28.52 11500 133.4 7.4958 -7.4958 0.75764 -0.0806 0.719758 9.672 68.51 -2.4986 1007.5 11.687 -86.49 8.742 -0.93 8.3049 111.6 790.5 -28.83 11625 134.85 -8.742 0.93 -8.3049 -111.6 -790.5 28.83 -11625 -134.85 -0.094 0.83942 11.28 79.9 -2.914 1175 13.63 -0.0893 -1.2 -8.5 0.31 -125 -1.45 10.716 75.905 -2.7683 1116.25 12.9485 1020 -37.2 15000 174 -263.5 106250 1232.5 -3875 -44.95 18125 -1146 -9.2 -0.806 -9.3 9.3 -0.94 0.1 -0.893 -12 -85 3.1 -1250 -14.5 -1 0 -1 0 0 0 0 12 85 -3.1 0 0 0 0 14.5 0 0 1 0 12 85 1250 9.2 -21.2565075 -16.14156901
924.5 37 0.948 0.7 -9.8 0.88 9.3 0.869 12 99 4.3 3000 13.1 1 -1 1 0 0 854700.25 1369 0.898704 0.49 96.04 0.7744 86.49 0.755161 144 9801 18.49 9000000 171.61 790170381.13 50653 0.851971392 0.343 -941.192 0.681472 804.357 0.656234909 1728 970299 79.507 27000000000 2248.091 34206.5 876.426 647.15 -9060.1 813.56 8597.85 803.3905 11094 91525.5 3975.35 2773500 12110.95 35.076 25.9 -362.6 32.56 344.1 32.153 444 3663 159.1 111000 484.7 0.6636 -9.2904 0.83424 8.8164 0.823812 11.376 93.852 4.0764 2844 12.4188 -6.86 0.616 6.51 0.6083 8.4 69.3 3.01 2100 9.17 -8.624 -91.14 -8.5162 -117.6 -970.2 -42.14 -29400 -128.38 8.184 0.76472 10.56 87.12 3.784 2640 11.528 8.0817 111.6 920.7 39.99 27900 121.83 10.428 86.031 3.7367 2607 11.3839 1188 51.6 36000 157.2 425.7 297000 1296.9 12900 56.33 39300 -924.5 -37 -0.948 -0.7 9.8 -0.88 -9.3 -0.869 -12 -99 -4.3 -3000 -13.1 -1 -1 0 0 12 99 4.3 0 0 0 0 0 0 13.1 0 0 1 0 0 12 99 3000 37 -19.51221812 -16.54857092
1198.3 83.9 0.905 0.3 7.8 0.93 -2.3 0.926 12 97 -0.4 3000 2 0 -1 1 0 0 1435922.89 7039.21 0.819025 0.09 60.84 0.8649 5.29 0.857476 144 9409 0.16 9000000 4 1720666399.1 590589.719 0.741217625 0.027 474.552 0.804357 -12.167 0.794022776 1728 912673 -0.064 27000000000 8 100537.37 1084.4615 359.49 9346.74 1114.419 -2756.09 1109.6258 14379.6 116235.1 -479.32 3594900 2396.6 75.9295 25.17 654.42 78.027 -192.97 77.6914 1006.8 8138.3 -33.56 251700 167.8 0.2715 7.059 0.84165 -2.0815 0.83803 10.86 87.785 -0.362 2715 1.81 2.34 0.279 -0.69 0.2778 3.6 29.1 -0.12 900 0.6 7.254 -17.94 7.2228 93.6 756.6 -3.12 23400 15.6 -2.139 0.86118 11.16 90.21 -0.372 2790 1.86 -2.1298 -27.6 -223.1 0.92 -6900 -4.6 11.112 89.822 -0.3704 2778 1.852 1164 -4.8 36000 24 -38.8 291000 194 -1200 -0.8 6000 -1198.3 -83.9 -0.905 -0.3 -7.8 -0.93 2.3 -0.926 -12 -97 0.4 -3000 -2 0 -1 0 0 12 97 -0.4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 -24.19606664 -19.55980258
939.2 88.2 0.908 1.2 9.4 0.92 9.8 0.915 13 36 27.1 425 39.6 1 1 0 1 0 882096.64 7779.24 0.824464 1.44 88.36 0.8464 96.04 0.837225 169 1296 734.41 180625 1568.16 828465164.29 686128.968 0.748613312 1.728 830.584 0.778688 941.192 0.766060875 2197 46656 19902.511 76765625 62099.136 82837.44 852.7936 1127.04 8828.48 864.064 9204.16 859.368 12209.6 33811.2 25452.32 399160 37192.32 80.0856 105.84 829.08 81.144 864.36 80.703 1146.6 3175.2 2390.22 37485 3492.72 1.0896 8.5352 0.83536 8.8984 0.83082 11.804 32.688 24.6068 385.9 35.9568 11.28 1.104 11.76 1.098 15.6 43.2 32.52 510 47.52 8.648 92.12 8.601 122.2 338.4 254.74 3995 372.24 9.016 0.8418 11.96 33.12 24.932 391 36.432 8.967 127.4 352.8 265.58 4165 388.08 11.895 32.94 24.7965 388.875 36.234 468 352.3 5525 514.8 975.6 15300 1425.6 11517.5 1073.16 16830 939.2 88.2 0.908 1.2 9.4 0.92 9.8 0.915 13 36 27.1 425 39.6 1 0 1 0 0 0 0 13 36 27.1 0 0 0 0 39.6 0 0 1 0 13 36 425 88.2 -18.83968712 -16.73206203
836.8 77.2 0.708 9.6 -9.6 0.86 -7 0.882 13 94 15.4 3000 60.3 0 -1 0 1 0 700234.24 5959.84 0.501264 92.16 92.16 0.7396 49 0.777924 169 8836 237.16 9000000 3636.09 585956012.03 460099.648 0.354894912 884.736 -884.736 0.636056 -343 0.686128968 2197 830584 3652.264 27000000000 219256.227 64600.96 592.4544 8033.28 -8033.28 719.648 -5857.6 738.0576 10878.4 78659.2 12886.72 2510400 50459.04 54.6576 741.12 -741.12 66.392 -540.4 68.0904 1003.6 7256.8 1188.88 231600 4655.16 6.7968 -6.7968 0.60888 -4.956 0.624456 9.204 66.552 10.9032 2124 42.6924 -92.16 8.256 -67.2 8.4672 124.8 902.4 147.84 28800 578.88 -8.256 67.2 -8.4672 -124.8 -902.4 -147.84 -28800 -578.88 -6.02 0.75852 11.18 80.84 13.244 2580 51.858 -6.174 -91 -658 -107.8 -21000 -422.1 11.466 82.908 13.5828 2646 53.1846 1222 200.2 39000 783.9 1447.6 282000 5668.2 46200 928.62 180900 -836.8 -77.2 -0.708 -9.6 9.6 -0.86 7 -0.882 -13 -94 -15.4 -3000 -60.3 0 0 -1 0 0 0 0 13 94 15.4 0 0 0 0 60.3 0 0 0 0 0 0 0 0 -19.91278016 -17.92720476
1190.7 22.1 0.757 6.6 -8.3 0.88 -9.8 0.908 14 34 28.4 3000 25.1 1 1 0 1 0 1417766.49 488.41 0.573049 43.56 68.89 0.7744 96.04 0.824464 196 1156 806.56 9000000 630.01 1688134559.6 10793.861 0.433798093 287.496 -571.787 0.681472 -941.192 0.748613312 2744 39304 22906.304 27000000000 15813.251 26314.47 901.3599 7858.62 -9882.81 1047.816 -11668.86 1081.1556 16669.8 40483.8 33815.88 3572100 29886.57 16.7297 145.86 -183.43 19.448 -216.58 20.0668 309.4 751.4 627.64 66300 554.71 4.9962 -6.2831 0.66616 -7.4186 0.687356 10.598 25.738 21.4988 2271 19.0007 -54.78 5.808 -64.68 5.9928 92.4 224.4 187.44 19800 165.66 -7.304 81.34 -7.5364 -116.2 -282.2 -235.72 -24900 -208.33 -8.624 0.79904 12.32 29.92 24.992 2640 22.088 -8.8984 -137.2 -333.2 -278.32 -29400 -245.98 12.712 30.872 25.7872 2724 22.7908 476 397.6 42000 351.4 965.6 102000 853.4 85200 712.84 75300 1190.7 22.1 0.757 6.6 -8.3 0.88 -9.8 0.908 14 34 28.4 3000 25.1 1 0 1 0 0 0 0 14 34 28.4 0 0 0 0 25.1 0 0 1 0 14 34 3000 22.1 -19.32528997 -16.92061137
810 64.7 0.654 0.8 5 0.88 1.4 0.885 14 92 4.4 500 59.8 1 -1 0 0 1 656100 4186.09 0.427716 0.64 25 0.7744 1.96 0.783225 196 8464 19.36 250000 3576.04 531441000 270840.023 0.279726264 0.512 125 0.681472 2.744 0.693154125 2744 778688 85.184 125000000 213847.192 52407 529.74 648 4050 712.8 1134 716.85 11340 74520 3564 405000 48438 42.3138 51.76 323.5 56.936 90.58 57.2595 905.8 5952.4 284.68 32350 3869.06 0.5232 3.27 0.57552 0.9156 0.57879 9.156 60.168 2.8776 327 39.1092 4 0.704 1.12 0.708 11.2 73.6 3.52 400 47.84 4.4 7 4.425 70 460 22 2500 299 1.232 0.7788 12.32 80.96 3.872 440 52.624 1.239 19.6 128.8 6.16 700 83.72 12.39 81.42 3.894 442.5 52.923 1288 61.6 7000 837.2 404.8 46000 5501.6 2200 263.12 29900 -810 -64.7 -0.654 -0.8 -5 -0.88 -1.4 -0.885 -14 -92 -4.4 -500 -59.8 -1 0 0 -1 0 0 0 0 0 0 14 92 4.4 0 0 59.8 0 0 1 14 92 500 64.7 -20.20984359 -17.25752993
1116.8 12 0.764 1.9 7.8 0.94 -4.4 0.889 14 44 29.6 400 69.3 1 1 0 1 0 1247242.24 144 0.583696 3.61 60.84 0.8836 19.36 0.790321 196 1936 876.16 160000 4802.49 1392920133.6 1728 0.445943744 6.859 474.552 0.830584 -85.184 0.702595369 2744 85184 25934.336 64000000 332812.557 13401.6 853.2352 2121.92 8711.04 1049.792 -4913.92 992.8352 15635.2 49139.2 33057.28 446720 77394.24 9.168 22.8 93.6 11.28 -52.8 10.668 168 528 355.2 4800 831.6 1.4516 5.9592 0.71816 -3.3616 0.679196 10.696 33.616 22.6144 305.6 52.9452 14.82 1.786 -8.36 1.6891 26.6 83.6 56.24 760 131.67 7.332 -34.32 6.9342 109.2 343.2 230.88 3120 540.54 -4.136 0.83566 13.16 41.36 27.824 376 65.142 -3.9116 -61.6 -193.6 -130.24 -1760 -304.92 12.446 39.116 26.3144 355.6 61.6077 616 414.4 5600 970.2 1302.4 17600 3049.2 11840 2051.28 27720 1116.8 12 0.764 1.9 7.8 0.94 -4.4 0.889 14 44 29.6 400 69.3 1 0 1 0 0 0 0 14 44 29.6 0 0 0 0 69.3 0 0 1 0 14 44 400 12 -19.36382893 -18.16139815
