 V1   V2   V3   V4   V5   V6   V7   V8   V9   V10  V11  V12  V13  V14  V15  V16  V17  V18  V19  V20  V21  V22  V23  V24  V25  V26  V27  V28  V29  V30 V31  V32  V33  V34  V35  V36  V37  V38  V39  V40  V41  V42  V43  V44  V45  V46  V47  V48  V49  V50  V51  V52  V53  V54  V55  V56  V57  V58  V59  V60   V61  V62  V63  V64  V65  V66  V67  V68  V69  V70  V71  V72  V73  V74  V75  V76  V77  V78  V79  V80  V81  V82  V83  V84  V85  V86  V87  V88  V89  V90   V91  V92  V93  V94  V95  V96  V97  V98  V99  V100 V101 V102 V103 V104 V105 V106 V107 V108 V109 V110 V111 V112 V113 V114 V115 V116 V117 V118 V119 V120 V121 V122 V123 V124 V125 V126 V127 V128 V129 V130 V131 V132 V133 V134 V135 V136 V137 V138 V139 V140 V141 V142 V143 V144 V145 V146 V147 V148 V149 V150 V151 V152 V153 V154 V155 V156 V157 V158 V159 V160
875.3 86.7 0.932 9.3 -6.9 0.94 -8.4 0.896 15 42 28.2 3000 3.1 0 1 1 0 0 766150.09 7516.89 0.868624 86.49 47.61 0.8836 70.56 0.802816 225 1764 795.24 9000000 9.61 670611173.78 651714.363 0.809557568 804.357 -328.509 0.830584 -592.704 0.719323136 3375 74088 22425.768 27000000000 29.791 75888.51 815.7796 8140.29 -6039.57 822.782 -7352.52 784.2688 13129.5 36762.6 24683.46 2625900 2713.43 80.8044 806.31 -598.23 81.498 -728.28 77.6832 1300.5 3641.4 2444.94 260100 268.77 8.6676 -6.4308 0.87608 -7.8288 0.835072 13.98 39.144 26.2824 2796 2.8892 -64.17 8.742 -78.12 8.3328 139.5 390.6 262.26 27900 28.83 -6.486 57.96 -6.1824 -103.5 -289.8 -194.58 -20700 -21.39 -7.896 0.84224 14.1 39.48 26.508 2820 2.914 -7.5264 -126 -352.8 -236.88 -25200 -26.04 13.44 37.632 25.2672 2688 2.7776 630 423 45000 46.5 1184.4 126000 130.2 84600 87.42 9300 875.3 86.7 0.932 9.3 -6.9 0.94 -8.4 0.896 15 42 28.2 3000 3.1 0 1 0 0 15 42 28.2 0 0 0 0 0 0 3.1 0 0 0 0 0 0 0 0 0 -20.68597005 -18.86868808
943.3 89.1 0.719 7.8 9.9 0.85 9.7 0.888 15 25 34.2 1250 39.2 1 1 0 0 1 889814.89 7938.81 0.516961 60.84 98.01 0.7225 94.09 0.788544 225 625 1169.64 1562500 1536.64 839362385.74 707347.971 0.371694959 474.552 970.299 0.614125 912.673 0.700227072 3375 15625 40001.688 1953125000 60236.288 84048.03 678.2327 7357.74 9338.67 801.805 9150.01 837.6504 14149.5 23582.5 32260.86 1179125 36977.36 64.0629 694.98 882.09 75.735 864.27 79.1208 1336.5 2227.5 3047.22 111375 3492.72 5.6082 7.1181 0.61115 6.9743 0.638472 10.785 17.975 24.5898 898.75 28.1848 77.22 6.63 75.66 6.9264 117 195 266.76 9750 305.76 8.415 96.03 8.7912 148.5 247.5 338.58 12375 388.08 8.245 0.7548 12.75 21.25 29.07 1062.5 33.32 8.6136 145.5 242.5 331.74 12125 380.24 13.32 22.2 30.3696 1110 34.8096 375 513 18750 588 855 31250 980 42750 1340.64 49000 943.3 89.1 0.719 7.8 9.9 0.85 9.7 0.888 15 25 34.2 1250 39.2 1 0 0 1 0 0 0 0 0 0 15 25 34.2 0 0 39.2 0 0 1 15 25 1250 89.1 -18.64883684 -16.63125733
864 80.5 0.694 0.7 -7.7 0.89 -9.9 0.924 13 26 34.3 1250 50.2 1 1 0 0 1 746496 6480.25 0.481636 0.49 59.29 0.7921 98.01 0.853776 169 676 1176.49 1562500 2520.04 644972544 521660.125 0.334255384 0.343 -456.533 0.704969 -970.299 0.788889024 2197 17576 40353.607 1953125000 126506.008 69552 599.616 604.8 -6652.8 768.96 -8553.6 798.336 11232 22464 29635.2 1080000 43372.8 55.867 56.35 -619.85 71.645 -796.95 74.382 1046.5 2093 2761.15 100625 4041.1 0.4858 -5.3438 0.61766 -6.8706 0.641256 9.022 18.044 23.8042 867.5 34.8388 -5.39 0.623 -6.93 0.6468 9.1 18.2 24.01 875 35.14 -6.853 76.23 -7.1148 -100.1 -200.2 -264.11 -9625 -386.54 -8.811 0.82236 11.57 23.14 30.527 1112.5 44.678 -9.1476 -128.7 -257.4 -339.57 -12375 -496.98 12.012 24.024 31.6932 1155 46.3848 338 445.9 16250 652.6 891.8 32500 1305.2 42875 1721.86 62750 864 80.5 0.694 0.7 -7.7 0.89 -9.9 0.924 13 26 34.3 1250 50.2 1 0 0 1 0 0 0 0 0 0 13 26 34.3 0 0 50.2 0 0 1 13 26 1250 80.5 -18.91743911 -17.07546883
1131.4 37.2 0.89 7.4 -5.4 0.86 10 0.925 15 54 22.2 3000 70.3 0 1 0 0 1 1280065.96 1383.84 0.7921 54.76 29.16 0.7396 100 0.855625 225 2916 492.84 9000000 4942.09 1448266627.1 51478.848 0.704969 405.224 -157.464 0.636056 1000 0.791453125 3375 157464 10941.048 27000000000 347428.927 42088.08 1006.946 8372.36 -6109.56 973.004 11314 1046.545 16971 61095.6 25117.08 3394200 79537.42 33.108 275.28 -200.88 31.992 372 34.41 558 2008.8 825.84 111600 2615.16 6.586 -4.806 0.7654 8.9 0.82325 13.35 48.06 19.758 2670 62.567 -39.96 6.364 74 6.845 111 399.6 164.28 22200 520.22 -4.644 -54 -4.995 -81 -291.6 -119.88 -16200 -379.62 8.6 0.7955 12.9 46.44 19.092 2580 60.458 9.25 150 540 222 30000 703 13.875 49.95 20.535 2775 65.0275 810 333 45000 1054.5 1198.8 162000 3796.2 66600 1560.66 210900 1131.4 37.2 0.89 7.4 -5.4 0.86 10 0.925 15 54 22.2 3000 70.3 0 0 0 1 0 0 0 0 0 0 15 54 22.2 0 0 70.3 0 0 0 0 0 0 0 -18.27571497 -16.70562235
926.2 2.6 0.798 6.6 -7 0.9 -1.7 0.924 14 62 29.1 3000 70.1 0 1 0 1 0 857846.44 6.76 0.636804 43.56 49 0.81 2.89 0.853776 196 3844 846.81 9000000 4914.01 794537372.73 17.576 0.508169592 287.496 -343 0.729 -4.913 0.788889024 2744 238328 24642.171 27000000000 344472.101 2408.12 739.1076 6112.92 -6483.4 833.58 -1574.54 855.8088 12966.8 57424.4 26952.42 2778600 64926.62 2.0748 17.16 -18.2 2.34 -4.42 2.4024 36.4 161.2 75.66 7800 182.26 5.2668 -5.586 0.7182 -1.3566 0.737352 11.172 49.476 23.2218 2394 55.9398 -46.2 5.94 -11.22 6.0984 92.4 409.2 192.06 19800 462.66 -6.3 11.9 -6.468 -98 -434 -203.7 -21000 -490.7 -1.53 0.8316 12.6 55.8 26.19 2700 63.09 -1.5708 -23.8 -105.4 -49.47 -5100 -119.17 12.936 57.288 26.8884 2772 64.7724 868 407.4 42000 981.4 1804.2 186000 4346.2 87300 2039.91 210300 926.2 2.6 0.798 6.6 -7 0.9 -1.7 0.924 14 62 29.1 3000 70.1 0 0 1 0 0 0 0 14 62 29.1 0 0 0 0 70.1 0 0 0 0 0 0 0 0 -19.10308583 -19.21188186
1169 6.6 0.745 9.9 8.2 0.93 9.4 0.879 15 58 1.6 3000 22.5 1 -1 1 0 0 1366561 43.56 0.555025 98.01 67.24 0.8649 88.36 0.772641 225 3364 2.56 9000000 506.25 1597509809 287.496 0.413493625 970.299 551.368 0.804357 830.584 0.679151439 3375 195112 4.096 27000000000 11390.625 7715.4 870.905 11573.1 9585.8 1087.17 10988.6 1027.551 17535 67802 1870.4 3507000 26302.5 4.917 65.34 54.12 6.138 62.04 5.8014 99 382.8 10.56 19800 148.5 7.3755 6.109 0.69285 7.003 0.654855 11.175 43.21 1.192 2235 16.7625 81.18 9.207 93.06 8.7021 148.5 574.2 15.84 29700 222.75 7.626 77.08 7.2078 123 475.6 13.12 24600 184.5 8.742 0.81747 13.95 53.94 1.488 2790 20.925 8.2626 141 545.2 15.04 28200 211.5 13.185 50.982 1.4064 2637 19.7775 870 24 45000 337.5 92.8 174000 1305 4800 36 67500 -1169 -6.6 -0.745 -9.9 -8.2 -0.93 -9.4 -0.879 -15 -58 -1.6 -3000 -22.5 -1 -1 0 0 15 58 1.6 0 0 0 0 0 0 22.5 0 0 1 0 0 15 58 3000 6.6 -18.89020449 -15.61853322
1079.1 6.9 0.719 2 9.6 0.85 -9.3 0.882 14 89 6.5 425 21.8 1 -1 0 1 0 1164456.81 47.61 0.516961 4 92.16 0.7225 86.49 0.777924 196 7921 42.25 180625 475.24 1256565343.7 328.509 0.371694959 8 884.736 0.614125 -804.357 0.686128968 2744 704969 274.625 76765625 10360.232 7445.79 775.8729 2158.2 10359.36 917.235 -10035.63 951.7662 15107.4 96039.9 7014.15 458617.5 23524.38 4.9611 13.8 66.24 5.865 -64.17 6.0858 96.6 614.1 44.85 2932.5 150.42 1.438 6.9024 0.61115 -6.6867 0.634158 10.066 63.991 4.6735 305.575 15.6742 19.2 1.7 -18.6 1.764 28 178 13 850 43.6 8.16 -89.28 8.4672 134.4 854.4 62.4 4080 209.28 -7.905 0.7497 11.9 75.65 5.525 361.25 18.53 -8.2026 -130.2 -827.7 -60.45 -3952.5 -202.74 12.348 78.498 5.733 374.85 19.2276 1246 91 5950 305.2 578.5 37825 1940.2 2762.5 141.7 9265 -1079.1 -6.9 -0.719 -2 -9.6 -0.85 9.3 -0.882 -14 -89 -6.5 -425 -21.8 -1 0 -1 0 0 0 0 14 89 6.5 0 0 0 0 21.8 0 0 1 0 14 89 425 6.9 -21.01094791 -17.10025913
893.6 2.3 0.677 6.6 -9.5 0.86 -9.3 0.923 12 14 35.9 425 19.7 1 1 0 0 1 798520.96 5.29 0.458329 43.56 90.25 0.7396 86.49 0.851929 144 196 1288.81 180625 388.09 713558329.86 12.167 0.310288733 287.496 -857.375 0.636056 -804.357 0.786330467 1728 2744 46268.279 76765625 7645.373 2055.28 604.9672 5897.76 -8489.2 768.496 -8310.48 824.7928 10723.2 12510.4 32080.24 379780 17603.92 1.5571 15.18 -21.85 1.978 -21.39 2.1229 27.6 32.2 82.57 977.5 45.31 4.4682 -6.4315 0.58222 -6.2961 0.624871 8.124 9.478 24.3043 287.725 13.3369 -62.7 5.676 -61.38 6.0918 79.2 92.4 236.94 2805 130.02 -8.17 88.35 -8.7685 -114 -133 -341.05 -4037.5 -187.15 -7.998 0.79378 10.32 12.04 30.874 365.5 16.942 -8.5839 -111.6 -130.2 -333.87 -3952.5 -183.21 11.076 12.922 33.1357 392.275 18.1831 168 430.8 5100 236.4 502.6 5950 275.8 15257.5 707.23 8372.5 893.6 2.3 0.677 6.6 -9.5 0.86 -9.3 0.923 12 14 35.9 425 19.7 1 0 0 1 0 0 0 0 0 0 12 14 35.9 0 0 19.7 0 0 1 12 14 425 2.3 -18.80634322 -16.20539798
1057.9 6 0.728 7 -3.7 0.86 -10 0.921 13 20 35 3000 24.9 1 1 1 0 0 1119152.41 36 0.529984 49 13.69 0.7396 100 0.848241 169 400 1225 9000000 620.01 1183951334.5 216 0.385828352 343 -50.653 0.636056 -1000 0.781229961 2197 8000 42875 27000000000 15438.249 6347.4 770.1512 7405.3 -3914.23 909.794 -10579 974.3259 13752.7 21158 37026.5 3173700 26341.71 4.368 42 -22.2 5.16 -60 5.526 78 120 210 18000 149.4 5.096 -2.6936 0.62608 -7.28 0.670488 9.464 14.56 25.48 2184 18.1272 -25.9 6.02 -70 6.447 91 140 245 21000 174.3 -3.182 37 -3.4077 -48.1 -74 -129.5 -11100 -92.13 -8.6 0.79206 11.18 17.2 30.1 2580 21.414 -9.21 -130 -200 -350 -30000 -249 11.973 18.42 32.235 2763 22.9329 260 455 39000 323.7 700 60000 498 105000 871.5 74700 1057.9 6 0.728 7 -3.7 0.86 -10 0.921 13 20 35 3000 24.9 1 1 0 0 13 20 35 0 0 0 0 0 0 24.9 0 0 1 0 0 13 20 3000 6 -18.51466181 -16.32745958
1027.1 2.1 0.86 3.9 8.8 0.89 8.7 0.916 15 94 -5.1 3000 2.3 0 -1 1 0 0 1054934.41 4.41 0.7396 15.21 77.44 0.7921 75.69 0.839056 225 8836 26.01 9000000 5.29 1083523132.5 9.261 0.636056 59.319 681.472 0.704969 658.503 0.768575296 3375 830584 -132.651 27000000000 12.167 2156.91 883.306 4005.69 9038.48 914.119 8935.77 940.8236 15406.5 96547.4 -5238.21 3081300 2362.33 1.806 8.19 18.48 1.869 18.27 1.9236 31.5 197.4 -10.71 6300 4.83 3.354 7.568 0.7654 7.482 0.78776 12.9 80.84 -4.386 2580 1.978 34.32 3.471 33.93 3.5724 58.5 366.6 -19.89 11700 8.97 7.832 76.56 8.0608 132 827.2 -44.88 26400 20.24 7.743 0.81524 13.35 83.66 -4.539 2670 2.047 7.9692 130.5 817.8 -44.37 26100 20.01 13.74 86.104 -4.6716 2748 2.1068 1410 -76.5 45000 34.5 -479.4 282000 216.2 -15300 -11.73 6900 -1027.1 -2.1 -0.86 -3.9 -8.8 -0.89 -8.7 -0.916 -15 -94 5.1 -3000 -2.3 0 -1 0 0 15 94 -5.1 0 0 0 0 0 0 2.3 0 0 0 0 0 0 0 0 0 -23.41741313 -18.37666386
1094.7 84.6 0.654 0.7 -3.4 0.91 -8.9 0.852 15 55 28.6 400 50.4 1 1 0 1 0 1198368.09 7157.16 0.427716 0.49 11.56 0.8281 79.21 0.725904 225 3025 817.96 160000 2540.16 1311853548.1 605495.736 0.279726264 0.343 -39.304 0.753571 -704.969 0.618470208 3375 166375 23393.656 64000000 128024.064 92611.62 715.9338 766.29 -3721.98 996.177 -9742.83 932.6844 16420.5 60208.5 31308.42 437880 55172.88 55.3284 59.22 -287.64 76.986 -752.94 72.0792 1269 4653 2419.56 33840 4263.84 0.4578 -2.2236 0.59514 -5.8206 0.557208 9.81 35.97 18.7044 261.6 32.9616 -2.38 0.637 -6.23 0.5964 10.5 38.5 20.02 280 35.28 -3.094 30.26 -2.8968 -51 -187 -97.24 -1360 -171.36 -8.099 0.77532 13.65 50.05 26.026 364 45.864 -7.5828 -133.5 -489.5 -254.54 -3560 -448.56 12.78 46.86 24.3672 340.8 42.9408 825 429 6000 756 1573 22000 2772 11440 1441.44 20160 1094.7 84.6 0.654 0.7 -3.4 0.91 -8.9 0.852 15 55 28.6 400 50.4 1 0 1 0 0 0 0 15 55 28.6 0 0 0 0 50.4 0 0 1 0 15 55 400 84.6 -19.85030023 -19.27282366
