V1  V2  V3  V4  V5  V6  V7  V8  V9  V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32
875.3 86.7 0.932 9.3 -6.9 0.94 -8.4 0.896 15 42 28.2 3000 3.1 0 1 1 0 0 -25.1287658 -22.6317839 -26.6500669 -27.1140146 -22.5232591 -22.2021142 -22.81559 -23.4501931 -24.1652852 -25.4659754 -30.0735582 -28.9564085 -34.1562388 -32.9519932
943.3 89.1 0.719 7.8 9.9 0.85 9.7 0.888 15 25 34.2 1250 39.2 1 1 0 0 1 -22.9780136 -20.8287375 -24.6258337 -25.0792349 -20.7133155 -20.2601609 -20.6593525 -21.0716892 -21.4539072 -22.8468683 -27.0600416 -25.8158707 -30.3803622 -29.3082027
864 80.5 0.694 0.7 -7.7 0.89 -9.9 0.924 13 26 34.3 1250 50.2 1 1 0 0 1 -23.4143114 -21.0978138 -24.4037804 -25.0599368 -21.0050984 -20.5409443 -20.9355931 -21.3318881 -21.6969209 -23.0791462 -27.3904307 -26.0663714 -30.4632749 -29.2007577
1131.4 37.2 0.89 7.4 -5.4 0.86 10 0.925 15 54 22.2 3000 70.3 0 1 0 0 1 -22.833579 -20.5009226 -24.2984595 -24.8392427 -20.369094 -19.8663006 -20.2715535 -20.6840451 -21.0415446 -22.4079662 -26.9865391 -25.5668201 -30.5813977 -29.2429622
926.2 2.6 0.798 6.6 -7 0.9 -1.7 0.924 14 62 29.1 3000 70.1 0 1 0 1 0 -25.7919011 -21.9621752 -25.5685986 -25.9633143 -20.8998837 -20.5009226 -21.1265833 -21.6131581 -22.081556 -23.6222344 -30.5867637 -28.2992806 -36.1249862 -34.1980276
1169 6.6 0.745 9.9 8.2 0.93 9.4 0.879 15 58 1.6 3000 22.5 1 -1 1 0 0 -21.1473023 -20.5957525 -24.7716815 -26.1216246 -21.7183292 -20.9694222 -21.0452633 -21.378732 -21.633326 -22.668876 -24.6829047 -24.0736751 -25.8640668 -25.5510797
1079.1 6.9 0.719 2 9.6 0.85 -9.3 0.882 14 89 6.5 425 21.8 1 -1 0 1 0 -23.9448955 -22.5403431 -26.8223156 -28.1639219 -23.4434898 -22.8302841 -23.1860197 -23.6970409 -24.1076061 -25.4390324 -28.8086766 -27.8667434 -31.0964371 -30.1329112
893.6 2.3 0.677 6.6 -9.5 0.86 -9.3 0.923 12 14 35.9 425 19.7 1 1 0 0 1 -22.2118144 -20.745716 -24.4744463 -25.2617124 -21.0565033 -20.5645541 -20.8509856 -21.2332585 -21.584595 -22.8697022 -25.9016691 -25.0753454 -28.0049876 -27.3920042
1057.9 6 0.728 7 -3.7 0.86 -10 0.921 13 20 35 3000 24.9 1 1 1 0 0 -22.4969889 -20.5896095 -24.2152636 -24.8204143 -20.654673 -20.1722584 -20.5309939 -20.9404273 -21.3201942 -22.6829707 -26.4217623 -25.3483327 -29.1374513 -28.1838848
1027.1 2.1 0.86 3.9 8.8 0.89 8.7 0.916 15 94 -5.1 3000 2.3 0 -1 1 0 0 -24.6549815 -24.2671795 -29.2560804 -31.0251436 -25.9392662 -25.8481342 -27.7551115 -26.9249577 -26.7247807 -28.9238251 -30.9248899 -31.973827 -33.4508881 -33.686491
1094.7 84.6 0.654 0.7 -3.4 0.91 -8.9 0.852 15 55 28.6 400 50.4 1 1 0 1 0 -25.9066487 -22.5514818 -26.0582472 -26.3229586 -21.7496505 -21.2947265 -21.8493521 -22.2949264 -22.7168967 -24.2520693 -30.4805773 -28.4611342 -35.4146452 -33.6852125
1104.9 89.4 0.654 1.2 6.2 0.85 9.5 0.876 12 70 18.2 3000 34.8 0 1 1 0 0 -24.2678718 -21.8261874 -25.393508 -26.134528 -21.7941657 -21.2972088 -21.7654033 -22.2305985 -22.6163938 -23.9356627 -28.5803517 -27.1272201 -32.0664485 -30.4971296
1174.1 30.4 0.698 0 9.9 0.89 8.3 0.896 15 38 31.7 3000 19.5 0 1 0 0 1 -24.7362148 -21.9399862 -25.3549854 -25.8788691 -21.5153498 -21.1280812 -21.6448204 -22.1095602 -22.5514818 -23.9235653 -29.0598055 -27.4562278 -33.1557373 -31.64397
1016.1 14.5 0.948 1.3 8 0.9 5.1 0.875 12 100 20.6 3000 49.3 0 1 0 1 0 -26.5642436 -22.6851021 -26.857216 -27.3810409 -21.6736305 -21.2740458 -21.9369523 -22.4673787 -22.967582 -24.4546353 -31.6027941 -29.254558 -37.4906832 -35.5150826
878.8 53.8 0.653 0 -9.5 0.9 -4.9 0.887 12 79 19.5 3000 39.9 1 1 0 1 0 -25.7776963 -22.8011087 -26.8108009 -27.6691384 -22.3678129 -21.8419788 -22.3876881 -22.8800205 -23.3171395 -24.8386298 -30.6709143 -28.8968693 -35.3010593 -33.5235457
964.5 89.6 0.949 8.8 9.5 0.9 -9.4 0.875 14 60 3.1 500 1.4 1 -1 1 0 0 -25.2730013 -24.7791592 -29.8158232 -31.1392471 -26.2621273 -25.659304 -25.9186657 -26.4508288 -26.9141574 -28.1721341 -30.7961192 -30.5900358 -33.0329228 -32.9511752
1011.2 3.8 0.867 9.2 8.5 0.92 -9.9 0.867 12 33 33.4 1250 60.8 1 1 0 0 1 -23.008011 -20.4216809 -24.3721556 -24.5408882 -20.0000745 -19.5529532 -20.0010454 -20.4128443 -20.7974507 -22.2328584 -27.1921212 -25.639182 -31.3175034 -30.0811786
1145.7 12.2 0.947 8.5 -7 0.87 4.6 0.871 12 83 13 3000 22.2 1 -1 0 0 1 -22.6177227 -20.7241662 -25.3781516 -26.1749675 -21.029791 -20.4593643 -20.8349798 -21.2867892 -21.6597593 -23.0089938 -27.1735963 -26.0802722 -30.6584505 -29.5885991
907.2 1.2 0.688 9.8 -9.7 0.91 -6 0.851 14 54 3.4 450 19.3 1 -1 0 0 1 -21.6190189 -21.0732489 -25.2000428 -26.6425958 -22.3046023 -21.6044308 -21.7463069 -22.1400194 -22.463952 -23.5733405 -25.7092573 -25.1956549 -26.7083508 -26.334925
862.2 75.6 0.673 3 7.8 0.9 9.3 0.921 12 36 10.3 3000 70.7 0 -1 0 1 0 -21.6822031 -21.0573409 -25.4020826 -26.7439532 -22.1396071 -21.5872013 -21.983809 -22.5397279 -23.0962734 -23.8484237 -25.5921412 -25.2853765 -26.719944 -26.4337709
823.6 14.8 0.922 10 -9.9 0.93 -9.9 0.922 14 59 21.9 1250 14.8 1 1 0 0 1 -23.6761302 -21.1192758 -24.8908265 -25.4266003 -20.908271 -20.4077254 -20.8656362 -21.3111525 -21.7089066 -23.1524351 -28.2097688 -26.7398431 -32.2046926 -30.7134012
806.5 46.3 0.927 10 9.2 0.87 6.9 0.898 14 67 18.3 3000 69.8 0 1 1 0 0 -22.8059125 -20.485825 -24.6233603 -25.2459348 -20.4033586 -19.8709804 -20.2882419 -20.7152977 -21.0718309 -22.4447533 -27.1033384 -25.6619526 -30.8471507 -29.4850816
995.4 76.1 0.886 1.1 7.5 0.93 -8.5 0.892 12 79 4.9 3000 42.6 1 -1 0 1 0 -22.2122576 -21.1252371 -26.074984 -27.3732829 -22.0512913 -21.3975913 -21.6546702 -22.1031806 -22.4645223 -23.7035185 -26.6092899 -25.8591243 -28.8640795 -28.2959696
848 70.7 0.778 1.8 -8.1 0.9 6.9 0.917 15 98 14.9 450 1.1 1 -1 0 0 1 -32.9489291 -30.5737815 -35.2229638 -36.3031153 -31.2307914 -30.8749584 -31.5693881 -32.5880209 -33.5790431 -35.4847534 -70 -70 -70 -70
850.9 78.9 0.848 9.9 -8.3 0.93 5.5 0.862 13 38 1.7 3000 61.5 1 -1 1 0 0 -20.2383736 -20.0421912 -24.7105513 -26.0545197 -21.3634411 -20.654673 -20.7333162 -21.1183847 -21.4586944 -22.5058674 -24.2126389 -23.8373313 -25.0335301 -24.9651828
861.6 18.2 0.922 1 -0.3 0.9 5.2 0.866 13 73 18 425 70.7 1 1 0 1 0 -23.8688912 -21.4048798 -26.2139551 -27.0185418 -21.2305976 -20.6995493 -21.1497503 -21.6005763 -21.991955 -23.4214152 -28.4143118 -26.9348784 -32.6706734 -31.4212691
879.1 1.6 0.93 7.8 -10 0.91 2.2 0.896 15 99 16.8 750 39.8 1 1 1 0 0 -24.4409564 -21.3178355 -25.3017941 -25.8940699 -20.7655472 -20.2433119 -20.764192 -21.2218336 -21.6170615 -23.10079 -29.2221281 -27.3625219 -34.2008766 -32.3088695
1145.5 85.4 0.839 1.8 -9.4 0.86 -5.1 0.857 14 94 -2.7 450 32 1 -1 1 0 0 -21.8219781 -21.162236 -26.7838661 -28.3862565 -22.3636786 -21.6674418 -21.8586458 -22.2987855 -22.6639895 -23.8330631 -26.2550296 -25.7761304 -28.2481336 -28.0469912
1070.2 67.2 0.754 4.4 7.6 0.9 -9.7 0.913 12 93 28.1 3000 14.1 1 1 0 1 0 -30.6325703 -25.3453787 -28.1248258 -28.1114792 -23.6952816 -23.3452301 -24.1954223 -24.799574 -25.4091039 -27.2356063 -36.7103332 -33.5152469 -70 -70
883 14.8 0.78 10 -5.5 0.91 -9.7 0.926 14 98 14.2 425 23.4 1 -1 1 0 0 -23.8647178 -21.3991627 -25.1125185 -25.8098647 -21.4007365 -20.8122063 -21.2416197 -21.6861242 -22.043398 -23.431416 -28.4244307 -26.9550201 -32.2716112 -30.5935121
858.6 69.6 0.863 9.5 8.4 0.88 6.4 0.857 13 15 30.8 3000 5.4 0 1 0 1 0 -24.190603 -23.2339827 -28.0619579 -28.9373959 -24.2938291 -24.0403059 -24.5994392 -25.432686 -26.5142415 -27.681683 -30.1944516 -30.8837123 -32.8557163 -32.859999
1198.2 1.5 0.733 0.7 -10 0.85 6 0.916 13 94 3.9 400 16.1 1 -1 0 0 1 -22.9723102 -21.7837157 -26.6968905 -28.0897288 -22.6584339 -22.0157056 -22.299269 -22.7650263 -23.1456485 -24.4153504 -27.6417788 -26.9976239 -30.2420354 -29.6590094
949.6 89.7 0.729 5.6 -9.8 0.94 -5.9 0.852 13 85 16.2 750 29.7 1 1 0 0 1 -24.4937893 -21.9457421 -25.9518706 -26.7263982 -21.8234794 -21.292427 -21.7586217 -22.2180367 -22.6071406 -24.0345311 -29.1892907 -27.6745551 -33.262576 -31.6379044
1173.5 69.6 0.735 7.3 6 0.91 10 0.87 15 100 -6.3 3000 3.2 0 -1 0 0 1 -24.2395374 -23.8969293 -27.9128537 -29.6985341 -25.819459 -28.084207 -25.061467 -25.2805987 -25.4693086 -27.221564 -31.4310556 -31.8495693 -32.9530166 -32.9833724
1199.9 6.8 0.868 0.4 -6.7 0.9 -9.2 0.917 14 88 4.5 425 7.2 1 -1 1 0 0 -22.9789673 -21.7877666 -25.9661485 -27.384161 -22.6758985 -22.0215493 -22.2877304 -22.737669 -23.0956298 -24.3441129 -27.5633625 -26.9318919 -29.8838641 -29.2041271
1194.1 88 0.728 1.3 -6.4 0.9 -9.3 0.923 13 48 4.7 3000 2.7 0 -1 0 0 1 -24.6892172 -24.2331626 -28.3720988 -30.0886239 -25.6574958 -25.0894191 -25.3639596 -25.8740256 -26.3450997 -27.4142981 -29.6195257 -29.5096465 -31.1489771 -31.0115339
1176 3.6 0.669 9.9 -0.2 0.94 5.6 0.873 12 33 33.6 750 30.5 1 1 1 0 0 -23.9731165 -21.2808337 -24.9548056 -25.203567 -20.8448687 -20.395402 -20.875718 -21.3093539 -21.7158978 -23.180285 -28.3022111 -26.6976766 -32.4125705 -30.9931901
855.2 72.2 0.665 5 10 0.92 -6.9 0.853 12 41 31.3 3000 5.4 0 1 1 0 0 -25.6686753 -22.8083231 -26.7083508 -27.0299892 -22.4297655 -22.1363149 -22.8245441 -23.5132856 -24.2909902 -25.5334941 -30.6146272 -29.1793639 -35.1074077 -33.6281014
1181.9 46.4 0.677 9.9 9.4 0.93 -4.7 0.91 12 100 7.1 3000 24.2 0 -1 0 0 1 -22.8722718 -21.2183822 -24.9411349 -26.1038784 -21.927572 -21.4704469 -22.1204189 -22.7821207 -23.4874103 -24.174389 -27.2768493 -26.4143295 -29.683626 -28.5343956
1183.6 84.3 0.908 6.4 -9.7 0.9 -10 0.862 15 14 8.8 800 7.5 1 -1 0 1 0 -22.053558 -22.2882085 -27.5975863 -28.9777102 -24.0120278 -23.4303665 -23.5863921 -24.1105603 -24.6268248 -25.7709801 -27.4272643 -27.4579085 -28.6336871 -29.0618945
1102 1.7 0.759 9.7 4 0.86 -7.4 0.886 15 95 9.5 3000 4.2 0 -1 0 0 1 -24.7659672 -22.9789673 -27.0460161 -28.0631896 -23.6539597 -23.3676373 -24.2906359 -25.2477781 -26.9092865 -26.9299058 -30.465996 -30.17708 -34.3783597 -33.5098715
803.6 89.7 0.943 4.4 8.4 0.94 8.5 0.911 15 93 7.4 3000 9 0 -1 0 1 0 -26.1728713 -24.7925276 -29.7405096 -31.2646551 -26.0366968 -25.6643284 -26.3130056 -27.0651393 -27.7783617 -29.0719829 -32.388527 -31.5896118 -35.1655742 -34.2483481
930.9 82.3 0.865 9.9 -9.9 0.89 -9.9 0.922 12 62 13.8 3000 52.5 0 -1 0 1 0 -22.2113715 -20.6389247 -24.8108334 -25.70955 -21.1821317 -20.6631119 -21.0884051 -21.5950613 -22.0467732 -23.2362017 -26.5875692 -25.6937193 -29.1325019 -28.1678485
839.3 86.6 0.899 9.7 -9.9 0.91 -2.4 0.899 15 59 23.9 750 19.5 1 1 0 1 0 -24.5454481 -21.7622893 -25.8312935 -26.39062 -21.428688 -20.9638099 -21.4974062 -21.9990927 -22.4628124 -23.9929088 -29.5375183 -27.9341553 -34.087064 -32.6036383
900.4 89.3 0.868 1.9 9.7 0.94 9 0.893 14 94 2.1 450 39.4 1 -1 1 0 0 -21.9192705 -20.8363226 -25.1361641 -26.6176037 -21.6641054 -20.9403031 -21.1081933 -21.4495562 -21.6929573 -22.8067154 -25.5831992 -24.7384296 -27.581279 -26.9249577
1083 28.6 0.897 9.9 5.2 0.9 -9.9 0.908 15 34 27.3 3000 2.2 0 1 0 1 0 -30.7088315 -29.2206564 -33.6860646 -34.9163832 -30.7500516 -30.737685 -31.6412084 -32.8323933 -34.2989724 -35.7460881 -40.0010255 -41.0902568 -70 -70
885.1 34.4 0.694 0.6 5.7 0.89 9.7 0.879 15 27 30.6 3000 69.4 0 1 1 0 0 -23.1076034 -21.1001435 -24.8895361 -25.4489102 -21.0861026 -20.6216122 -20.9983608 -21.4148143 -21.7924164 -23.0955226 -26.9596084 -25.7825663 -29.9816417 -29.0034126
992.7 13.1 0.924 1.2 -8.7 0.85 9.9 0.922 12 76 -3.5 3000 16 0 -1 0 0 1 -21.3337277 -20.9450353 -25.8449444 -27.3794845 -22.3367118 -22.5677934 -22.3367118 -22.1107609 -21.9423523 -23.7556621 -26.0140119 -26.012029 -27.1654021 -27.3376055
1025.8 19.7 0.684 2.3 9.6 0.86 -7.9 0.908 13 71 -0.1 3000 1 1 -1 1 0 0 -28.3645737 -28.0214006 -32.4706486 -34.4192172 -29.8301475 -29.2374635 -29.5348301 -30.1495259 -30.6890544 -32.0162529 -34.850478 -34.8799999 -36.8393635 -36.7218023
1084.4 89.6 0.845 0.7 9.7 0.88 7.8 0.89 12 74 -3.5 750 7.3 1 -1 0 0 1 -22.3129011 -21.9464215 -26.3851389 -28.2219728 -23.3124669 -22.5927707 -22.7257463 -23.1393556 -23.4809265 -24.5803273 -26.7402533 -26.3903307 -28.0023747 -27.814103
818.5 81.7 0.724 9.6 -9.9 0.87 6.6 0.856 12 32 31.8 3000 29.6 0 1 1 0 0 -23.3234487 -20.9098364 -24.9424936 -25.1722873 -20.6243259 -20.1832698 -20.6389247 -21.0748111 -21.4605739 -22.8485419 -27.5212703 -26.0352765 -31.4243726 -30.2367404
858.5 29.9 0.704 1.1 -6.8 0.91 9.5 0.857 14 45 32.9 750 59.5 1 1 0 0 1 -25.4792589 -22.0661176 -26.0076803 -26.0508061 -21.1689281 -20.7426526 -21.3068414 -21.7499296 -22.1757 -23.7152053 -30.1227107 -28.0346379 -35.3631719 -33.8194743
1077.4 87.6 0.873 9.7 6.9 0.85 -9.9 0.924 15 71 21.8 425 29.4 1 1 0 0 1 -24.0155191 -21.0310146 -24.6105962 -24.9283185 -20.515439 -20.0201683 -20.505738 -20.9310283 -21.3080969 -22.7634867 -28.4675769 -26.6785913 -33.02299 -31.2787586
854.3 82 0.715 9.2 -9.3 0.93 0.7 0.926 12 86 2.2 3000 2.2 0 -1 0 0 1 -25.832286 -24.9969763 -29.3620619 -31.0736657 -26.5135871 -26.0945841 -26.7203461 -27.6802114 -29.012527 -30.0179666 -32.9823174 -33.7723788 -36.1740451 -36.0652528
943.4 3 0.657 7.8 -9 0.93 9.7 0.886 13 96 23.3 3000 30.2 0 1 0 1 0 -27.7163612 -23.4594069 -26.5928668 -26.6252554 -22.430868 -22.1804119 -23.0346899 -23.7898499 -24.6483741 -25.8431023 -33.013155 -30.4702626 -38.9998462 -36.5171064
838.3 85.3 0.708 0.9 9.5 0.91 -9.7 0.874 15 88 -3 3000 19 0 -1 0 0 1 -22.0827235 -21.4789269 -26.146693 -27.6604499 -22.7052178 -22.139195 -22.7354226 -23.4025828 -24.2261638 -24.4890263 -26.1619954 -25.8504911 -27.7366039 -27.4808785
910.9 87.1 0.873 9.5 8.1 0.86 -9.9 0.855 14 54 7.2 3000 39.5 0 -1 1 0 0 -20.8813241 -20.0411796 -24.7814714 -25.7532369 -21.0096155 -20.3889388 -20.6612304 -21.1080464 -21.4864064 -22.5690592 -24.9196431 -24.3340738 -26.6762792 -26.2659504
991.1 14 0.731 9.8 4.6 0.87 9.9 0.925 15 40 31.8 1250 14.8 1 1 0 0 1 -24.5228534 -21.5426567 -24.8484821 -25.1680193 -21.0247764 -20.5765715 -21.0797979 -21.509845 -21.9133357 -23.3956111 -28.9429504 -27.2057534 -33.2917441 -31.6489603
958.2 89 0.86 5.2 -5.3 0.85 -9.9 0.919 15 33 28.8 750 7.7 1 1 1 0 0 -23.5323526 -21.3560708 -25.2834627 -25.895832 -21.2716203 -20.7909025 -21.205828 -21.6385571 -22.0419015 -23.4660628 -27.7741989 -26.548877 -31.1611889 -30.0957723
1065.4 89.7 0.859 0.4 -9.6 0.89 6.9 0.864 12 40 27.1 3000 0.8 0 1 0 1 0 -38.31078 -36.603016 -70 -70 -38.45038 -38.420873 -39.3026405 -70 -70 -70 -70 -70 -70 -70
810.2 64.7 0.839 7.8 -8.2 0.86 10 0.913 15 56 0.7 3000 10 0 -1 1 0 0 -21.1824482 -20.8391257 -25.1084976 -26.490947 -22.3447763 -22.0699549 -20.5476333 -20.6225159 -20.6416858 -22.2433202 -26.4520585 -24.3860878 -26.5171919 -26.5465078
827 2.5 0.922 8.7 9.9 0.9 7.4 0.874 14 91 18 3000 49.9 0 1 1 0 0 -24.2348363 -21.1819735 -25.1921584 -25.6183873 -20.660291 -20.159658 -20.6821239 -21.1398424 -21.5282388 -22.981834 -28.9311378 -27.0600416 -33.7973154 -31.9815491
1150.5 68 0.665 0.5 9 0.94 5.2 0.862 15 92 -2.6 500 5.3 1 -1 1 0 0 -23.5790623 -22.9875922 -27.4428832 -29.4499463 -24.3702359 -23.6522745 -23.855964 -24.355765 -24.7693918 -26.000409 -28.6498984 -28.385831 -30.2077799 -29.9128237
1008.8 3.7 0.848 9.9 2.8 0.85 6.8 0.873 15 94 -0.9 3000 1.8 0 -1 1 0 0 -25.5663126 -24.8888916 -29.4825306 -31.0550778 -26.4220608 -26.1691556 -27.4826011 -29.5648051 -28.8682061 -30.309464 -32.0647622 -32.661451 -35.3397315 -35.4103328
1163.1 65.9 0.765 2.2 7.6 0.88 -9.6 0.909 12 58 27.4 3000 70.2 0 1 0 1 0 -24.9707616 -21.7688114 -25.324444 -25.6591648 -21.1010185 -20.6869339 -21.2565075 -21.7440841 -22.1981729 -23.6624288 -29.5836538 -27.6974815 -34.3260873 -32.5772742
1064 86.9 0.889 9.8 -6.3 0.91 9.9 0.884 14 92 4 450 9.8 1 -1 1 0 0 -22.1183991 -20.9272197 -25.3948964 -26.463816 -21.8032527 -21.1413604 -21.4040893 -21.8478115 -22.19861 -23.4390962 -26.6179667 -25.9357725 -29.0787654 -28.4036445
918.8 8.9 0.678 7.3 5 0.91 -9.7 0.856 12 43 22.3 3000 69.5 0 1 0 0 1 -22.9544609 -21.0394846 -25.0056281 -25.5020754 -21.1867309 -20.6735237 -21.0329209 -21.449763 -21.8000188 -23.1212611 -27.0460161 -25.8183159 -30.065653 -28.9889224
936.9 79.9 0.825 3.8 -2.6 0.94 -8.1 0.864 12 38 34.9 3000 5.6 0 1 0 0 1 -26.1633772 -22.9914495 -26.8081623 -27.1914767 -22.3704056 -22.024484 -22.6344847 -23.1606403 -23.6799697 -25.1939051 -31.2657912 -29.5070321 -36.4011729 -34.8938811
1010.5 31.5 0.88 7.8 -8.9 0.92 7.5 0.89 12 52 15.6 750 71.2 1 -1 0 1 0 -21.9255734 -20.443364 -24.9445351 -25.7475945 -20.957976 -20.3810956 -20.6927366 -21.1267329 -21.4961058 -22.8011087 -26.1752007 -25.2796459 -28.7801901 -27.9896981
1197.9 11.9 0.841 0.4 -5.6 0.95 9.8 0.886 12 91 14.4 1250 29.5 1 1 1 0 0 -24.105249 -21.5914809 -25.8224045 -26.4380082 -21.4485231 -20.9009581 -21.351562 -21.7991386 -22.1701598 -23.5769779 -28.6706101 -27.1529253 -32.8483116 -31.3348112
1167.2 86.7 0.765 7.2 1 0.95 9.5 0.918 12 38 30.6 3000 9.6 0 1 0 1 0 -25.5246942 -22.9415098 -26.5670003 -27.1260124 -22.965697 -22.7066702 -23.3921434 -24.1402878 -25.0107098 -26.350643 -31.1141881 -30.1147684 -35.211141 -33.8431323
838.3 71.6 0.903 0.6 -1 0.93 -10 0.853 15 97 -3.5 3000 18.1 0 -1 0 0 1 -21.7488136 -21.0917242 -25.554208 -27.1193958 -22.3168304 -22.0404073 -26.0002132 -23.6828591 -23.130101 -26.3124704 -26.1060524 -26.1273883 -27.6523469 -27.3031573
1103.4 72.4 0.9 0.4 8.7 0.94 -6.4 0.924 14 98 12.6 500 25.5 1 -1 0 0 1 -23.7418574 -21.5399375 -26.1200785 -27.1338888 -21.6539091 -21.0846662 -21.4954562 -21.9460817 -22.312411 -23.6832449 -28.3689565 -27.0817443 -32.2936086 -31.0194997
970.7 0.3 0.719 9.7 9.8 0.89 -0.4 0.867 15 80 -0.6 450 61.6 1 -1 0 0 1 -21.503279 -20.866559 -25.388186 -26.891945 -22.100006 -21.4068588 -21.592196 -22.0292714 -22.3940474 -23.558411 -25.917043 -25.4048852 -27.1654021 -26.701222
870.1 4.4 0.684 1.5 3.6 0.92 -9.9 0.906 15 93 12.8 800 60.3 1 1 0 0 1 -24.282873 -21.921588 -25.8998967 -26.6121738 -21.9413376 -21.3758471 -21.8014874 -22.2483626 -22.6137413 -23.9979187 -28.8406767 -27.4007034 -32.6327958 -31.0837223
809 28.5 0.706 4.1 -9.8 0.93 9.9 0.855 15 46 0.5 3000 29.7 1 -1 0 0 1 -21.1495971 -20.8746703 -25.1663172 -26.6579721 -22.1587504 -21.4092388 -21.4593205 -21.7991386 -22.0765123 -23.0805183 -24.8276607 -24.3426192 -25.6838261 -25.5320221
1129.9 70.9 0.75 9.9 -0.5 0.88 3.9 0.92 15 80 -4.7 3000 39.5 1 -1 0 0 1 -20.9784162 -20.6207092 -24.652435 -26.3677422 -21.9778304 -21.2126562 -21.2896042 -21.6506175 -21.9342633 -22.9647558 -24.8992544 -24.3853086 -25.6248225 -25.2892153
907 34.1 0.759 9.5 7.5 0.85 -9.7 0.89 12 99 2.6 350 9.3 1 -1 0 0 1 -22.7331813 -21.4889837 -25.53854 -26.7639206 -22.3967091 -21.7062307 -21.9546098 -22.3983095 -22.743684 -23.9798435 -27.2845985 -26.6610001 -29.805213 -29.092039
1107.6 19.3 0.669 9.2 -1 0.92 -8.9 0.861 13 81 10.4 3000 73.7 0 -1 0 1 0 -22.9751578 -21.3773846 -25.0538392 -26.0059067 -22.4777295 -21.19969 -20.4239023 -20.5467947 -20.5931152 -22.3887451 -27.919637 -26.3964221 -29.7800271 -28.6894516
938 86.8 0.77 9.8 9.9 0.89 -4.1 0.911 15 41 21.6 3000 24.3 0 1 0 0 1 -22.5921224 -20.7458182 -24.7907737 -25.4481209 -20.9440372 -20.4670744 -20.8663282 -21.3211028 -21.7259318 -23.0021344 -26.7203461 -25.6497438 -29.630543 -28.6646887
