V1  V2  V3  V4  V5  V6  V7  V8  V9  V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32
976.7 63.3 0.713 7.8 -6.6 0.92 8.5 0.866 15 80 29 3000 2.9 1 1 1 0 0 -29.8725111 -25.0462691 -28.267788 -28.0500275 -23.4509577 -23.0503486 -23.8236922 -24.3733093 -24.9256411 -26.6882832 -35.6819677 -33.0148964 -70 -40.2840061
875.8 88.7 0.666 3 8.7 0.89 -9.5 0.917 13 98 11.3 425 3 1 -1 0 0 1 -26.7410744 -24.6823804 -28.4586144 -29.6674032 -25.2477781 -24.701963 -25.1629216 -25.790789 -26.336842 -27.8455767 -33.0925635 -32.7077962 -37.8208583 -36.8353794
1146 9.2 0.806 9.3 -9.3 0.94 -0.1 0.893 12 85 -3.1 1250 14.5 1 -1 0 1 0 -23.0021344 -22.5244698 -27.3579452 -29.1129457 -24.1464021 -23.5038867 -23.777051 -24.3534991 -24.8534449 -26.1455604 -28.5104979 -28.08878 -29.7655526 -29.380296
924.5 37 0.948 0.7 -9.8 0.88 9.3 0.869 12 99 4.3 3000 13.1 1 -1 1 0 0 -22.4916995 -21.1867309 -26.3026207 -27.4800182 -21.9813429 -21.3212847 -21.6039481 -22.0581069 -22.4193516 -23.6847899 -27.0493643 -26.3097988 -29.941336 -29.3124922
1198.3 83.9 0.905 0.3 7.8 0.93 -2.3 0.926 12 97 -0.4 3000 2 0 -1 1 0 0 -26.087723 -25.2959688 -31.4431988 -33.1798532 -26.736976 -26.3191809 -26.9631917 -27.8969417 -29.1365496 -30.0051022 -32.868808 -33.5174052 -36.8955009 -37.3503555
939.2 88.2 0.908 1.2 9.4 0.92 9.8 0.915 13 36 27.1 425 39.6 1 1 0 1 0 -23.1188438 -20.9754521 -24.7523846 -25.4517342 -20.9445361 -20.4524756 -20.8449816 -21.2669591 -21.6561942 -23.0549708 -27.2747463 -26.051218 -30.4833459 -29.3930276
836.8 77.2 0.708 9.6 -9.6 0.86 -7 0.882 13 94 15.4 3000 60.3 0 -1 0 1 0 -24.3411278 -21.8243813 -25.6094736 -26.3685907 -21.854608 -21.4315267 -22.0688022 -22.6439957 -23.174467 -24.2959635 -28.9564085 -27.4086779 -32.7862776 -31.0547709
1190.7 22.1 0.757 6.6 -8.3 0.88 -9.8 0.908 14 34 28.4 3000 25.1 1 1 0 1 0 -23.619877 -21.4307148 -25.2413413 -25.7776963 -21.3841395 -20.9128537 -21.3524997 -21.8142076 -22.245609 -23.6993916 -28.0762151 -26.8641589 -31.4651576 -30.3668537
810 64.7 0.654 0.8 5 0.88 1.4 0.885 14 92 4.4 500 59.8 1 -1 0 0 1 -23.2049776 -21.8976798 -28.0925805 -29.3575548 -22.6605136 -22.0164342 -22.3012051 -22.743684 -23.0998205 -24.361072 -27.6311211 -26.8218703 -30.6892673 -30.2320122
1116.8 12 0.764 1.9 7.8 0.94 -4.4 0.889 14 44 29.6 400 69.3 1 1 0 1 0 -24.6971642 -21.8361799 -25.8647504 -26.4915868 -21.2995193 -20.8492827 -21.3609783 -21.8168906 -22.2520458 -23.7623232 -29.2550652 -27.5831838 -33.7045638 -32.2825494
